504,0.0
-4644.2031,727.0667,3.0615,179.4279
-4614.8818,727.7329,3.0894,180.1972
-4585.0292,727.4249,3.0425,179.0335
-4674.1752,727.4727,3.1263,179.5099
-4703.6928,727.2161,3.1243,180.4239
-4717.6533,713.1303,3.0155,271.0150
-4717.3916,683.5767,2.7923,269.4385
-4717.3852,653.5994,2.5913,270.0002
-4717.5830,624.2050,2.5913,269.2275
-4717.8496,594.4976,2.3822,270.2542
-4716.9980,565.0012,2.1575,269.9332
-4717.4746,535.5498,1.9332,269.0895
-4717.1909,505.3922,1.9151,269.5021
-4703.5185,492.3760,1.9164,0.5472
-4542.9716,713.6300,3.0215,89.8712
-4555.2729,725.2406,3.1101,180.6011
-4542.4799,683.5479,2.7929,91.1014
-4542.9965,654.0186,2.5885,91.1436
-4543.2680,624.1729,2.5852,88.7867
-4541.9047,594.3159,2.4098,88.7474
-4546.4809,565.0117,2.1587,89.6844
-4543.7783,535.7182,1.9357,90.8712
-4544.3212,505.7298,1.9147,89.0344
-4555.2177,496.0122,1.9167,0.5569
-4584.5625,492.8045,1.9177,358.9719
-4614.5917,494.9390,1.9169,356.6355
-4644.3666,494.1528,1.9177,359.6785
-4673.8959,495.8806,1.9129,1.5904
