504,0.0
3354.2670,-1766.1691,2.2701,0.2874
3321.1887,-1767.9425,5.3576,90.6092
3295.0720,-1762.7375,5.2568,3.7267
3261.2810,-1766.3853,2.2527,2.2232
3309.3295,-1657.1369,2.1630,180.6741
3346.6628,-1720.1223,2.4179,30.2730
3309.1516,-1688.7448,2.3229,88.8149
3294.5407,-1672.6353,2.4151,41.2220
3280.6357,-1655.7982,2.3231,269.3122
3334.3378,-1655.8740,2.5306,84.8300
3326.0422,-1669.7680,2.3510,138.4779
3309.4333,-1754.5037,5.3731,179.8668
3277.7043,-1709.4353,2.3118,359.4645
3338.7551,-1684.8135,2.3141,180.5395
3309.5737,-1707.6065,2.3271,359.8299
